Metric,Classical SVM,Quantum SVM,Interpretation
True Negatives (TN),20,3,Bad credits correctly rejected
False Positives (FP),40,57,Good credits wrongly rejected (lost business)
False Negatives (FN),20,2,Bad credits wrongly approved (DEFAULT RISK)
True Positives (TP),120,138,Good credits correctly approved
,,,
Type I Error Rate,66.7%,95.0%,False Positive Rate (good→bad)
Type II Error Rate,14.3%,1.4%,False Negative Rate (bad→good)
Total Errors,60,59,Total misclassifications
Error Rate,30.0%,29.5%,Overall error rate
